UDI,Product ID,Type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,Machine failure,TWF,HDF,PWF,OSF,RNF
1600,H00329,H,303.3,314.9,1863,11.5,92,1,0,0,1,0,0
1601,L00792,L,299.5,309.8,1576,44.7,137,0,0,0,0,0,0
1602,L00793,L,302.6,312.7,1520,23.6,173,0,0,0,0,0,0
1603,L00794,L,300.4,308.7,1301,34.8,163,1,0,1,0,0,0
1604,L00795,L,298.0,308.7,1447,48.4,97,0,0,0,0,0,0
1605,L00796,L,303.7,312.6,1825,41.9,50,0,0,0,0,0,0
1606,M00481,M,302.0,311.6,1600,33.8,159,0,0,0,0,0,0
1607,L00797,L,299.8,310.8,1543,24.1,159,0,0,0,0,0,0
1608,H00330,H,301.5,312.5,1772,38.9,242,0,0,0,0,0,0
1609,L00798,L,299.2,308.7,1662,48.6,142,0,0,0,0,0,0
1610,M00482,M,301.7,311.3,1511,47.0,136,0,0,0,0,0,0
1611,H00331,H,295.2,304.5,1576,57.9,57,1,0,0,1,0,0
1612,M00483,M,298.0,306.8,1400,33.5,163,0,0,0,0,0,0
1613,M00484,M,302.0,311.4,1437,26.8,149,0,0,0,0,0,0
1614,L00799,L,299.5,307.9,1501,43.1,12,0,0,0,0,0,0
1615,L00800,L,300.4,311.1,1637,42.1,168,0,0,0,0,0,0
1616,M00485,M,297.3,307.7,1314,40.0,107,0,0,0,0,0,0
1617,H00332,H,303.7,314.3,1551,32.5,205,0,0,0,0,0,0
1618,M00486,M,302.4,311.4,1468,13.5,153,1,0,0,1,0,0
1619,M00487,M,299.6,308.4,1376,29.9,119,0,0,0,0,0,0
1620,M00488,M,299.2,309.3,1469,45.6,127,0,0,0,0,0,0
1621,L00801,L,302.1,312.2,1168,42.8,188,0,0,0,0,0,0
1622,L00802,L,304.0,313.9,1402,49.7,43,0,0,0,0,0,0
1623,M00489,M,301.9,311.6,1341,43.5,216,0,0,0,0,0,0
1624,H00333,H,304.3,316.0,1487,47.4,85,0,0,0,0,0,0
1625,L00803,L,298.2,308.6,1168,47.6,29,0,0,0,0,0,0
1626,M00490,M,298.4,310.4,1572,40.2,76,0,0,0,0,0,0
1627,L00804,L,297.6,308.9,1700,40.3,241,0,0,0,0,0,0
1628,M00491,M,300.9,312.6,1517,10.9,223,1,0,0,1,0,0
1629,L00805,L,300.4,309.3,1627,33.4,164,0,0,0,0,0,0
1630,L00806,L,299.7,310.3,1446,33.9,57,0,0,0,0,0,0
1631,M00492,M,301.6,311.2,1259,38.9,82,0,0,0,0,0,0
1632,L00807,L,302.5,310.8,1538,30.7,162,0,0,0,0,0,0
1633,M00493,M,296.9,308.4,1659,49.4,121,0,0,0,0,0,0
1634,M00494,M,298.8,308.5,1300,31.2,176,0,0,0,0,0,0
1635,H00334,H,301.6,310.5,1454,51.0,186,0,0,0,0,0,0
1636,L00808,L,299.1,308.7,1493,30.4,243,0,0,0,0,0,0
1637,L00809,L,298.4,307.6,2048,34.0,220,0,0,0,0,0,0
1638,L00810,L,302.0,311.3,1577,33.2,134,0,0,0,0,0,0
1639,H00335,H,297.4,307.2,1196,35.0,34,0,0,0,0,0,0
1640,H00336,H,299.4,311.1,1168,51.8,166,0,0,0,0,0,0
1641,M00495,M,300.7,310.0,1668,36.7,5,0,0,0,0,0,0
1642,H00337,H,298.9,310.6,1982,37.0,77,0,0,0,0,0,0
1643,M00496,M,301.6,312.4,1487,32.6,219,0,0,0,0,0,0
1644,M00497,M,298.9,309.3,1476,37.4,64,0,0,0,0,0,0
1645,L00811,L,302.8,313.5,1615,42.2,109,0,0,0,0,0,0
1646,M00498,M,299.7,309.7,1395,37.8,84,0,0,0,0,0,0
1647,L00812,L,301.3,312.6,1168,38.5,154,0,0,0,0,0,0
1648,H00338,H,301.5,312.1,1723,50.2,213,1,0,0,1,0,0
1649,M00499,M,298.7,307.0,1428,42.7,138,0,0,0,0,0,0
1650,M00500,M,295.9,306.2,1725,28.5,8,0,0,0,0,0,0
1651,L00813,L,300.7,311.5,1401,39.1,137,0,0,0,0,0,0
1652,L00814,L,300.1,309.8,1559,34.6,181,0,0,0,0,0,0
1653,L00815,L,301.1,311.2,1691,45.2,42,0,0,0,0,0,0
1654,L00816,L,299.5,308.9,1729,41.0,119,0,0,0,0,0,0
1655,L00817,L,299.1,307.7,1579,51.3,49,0,0,0,0,0,0
1656,H00339,H,304.0,312.4,1570,32.6,112,0,0,0,0,0,0
1657,M00501,M,297.1,305.6,1648,38.1,173,0,0,0,0,0,0
1658,L00818,L,301.5,312.2,1621,29.4,62,0,0,0,0,0,0
1659,L00819,L,298.9,306.4,1306,39.6,176,1,0,1,0,0,0
1660,L00820,L,299.3,308.6,1310,24.6,230,1,1,0,1,0,0
1661,M00502,M,299.4,308.6,1168,43.2,222,0,0,0,0,0,0
1662,M00503,M,298.4,308.1,1675,39.4,223,0,0,0,0,0,0
1663,H00340,H,301.1,309.2,1467,41.6,158,0,0,0,0,0,0
1664,L00821,L,302.8,313.2,1684,47.9,190,0,0,0,0,0,0
1665,H00341,H,300.9,309.6,1610,42.2,135,0,0,0,0,0,0
1666,H00342,H,300.2,311.3,1358,27.2,167,1,0,0,0,0,1
1667,L00822,L,298.0,307.4,1516,34.4,187,0,0,0,0,0,0
1668,H00343,H,301.0,310.9,1456,39.2,178,0,0,0,0,0,0
1669,L00823,L,304.3,314.3,1428,36.7,132,0,0,0,0,0,0
1670,H00344,H,299.2,309.4,1701,37.9,158,0,0,0,0,0,0
1671,L00824,L,299.2,309.2,1987,56.2,134,1,0,0,1,0,0
1672,H00345,H,298.9,308.5,1737,41.0,172,0,0,0,0,0,0
1673,H00346,H,299.0,309.3,1533,43.8,46,0,0,0,0,0,0
1674,H00347,H,294.5,305.0,1763,19.9,141,0,0,0,0,0,0
1675,M00504,M,300.8,310.0,1844,47.5,24,1,0,0,1,0,0
1676,L00825,L,298.3,308.7,1288,68.5,84,1,0,0,1,0,0
1677,L00826,L,296.8,308.0,1757,53.5,174,1,0,0,1,0,0
1678,L00827,L,301.5,312.2,1675,35.6,92,0,0,0,0,0,0
1679,L00828,L,297.8,308.7,1750,62.8,173,1,0,0,1,0,0
1680,M00505,M,299.3,309.5,1683,40.3,172,0,0,0,0,0,0
1681,L00829,L,302.9,312.0,1497,43.1,158,0,0,0,0,0,0
1682,H00348,H,297.2,306.4,1901,37.3,51,0,0,0,0,0,0
1683,M00506,M,296.9,307.2,1598,37.1,126,0,0,0,0,0,0
1684,H00349,H,300.5,311.4,1460,17.5,3,1,0,0,1,0,0
1685,L00830,L,302.3,315.1,1628,47.9,117,0,0,0,0,0,0
1686,H00350,H,296.9,307.9,1712,37.0,232,0,0,0,0,0,0
1687,H00351,H,300.8,309.6,1554,38.1,45,0,0,0,0,0,0
1688,L00831,L,301.2,310.4,1608,42.7,156,0,0,0,0,0,0
1689,M00507,M,295.9,308.2,1553,35.9,176,0,0,0,0,0,0
1690,M00508,M,301.6,311.4,1419,42.6,192,0,0,0,0,0,0
1691,L00832,L,301.8,311.8,1390,52.0,95,0,0,0,0,0,0
1692,M00509,M,299.4,308.4,1286,44.0,0,0,0,0,0,0,0
1693,L00833,L,302.5,314.1,1809,38.5,67,0,0,0,0,0,0
1694,L00834,L,302.3,312.8,1498,38.8,211,0,0,0,0,0,0
1695,L00835,L,300.2,309.4,1168,42.0,186,0,0,0,0,0,0
1696,L00836,L,299.1,308.1,1608,31.7,231,0,0,0,0,0,0
1697,L00837,L,298.1,308.4,1605,42.1,164,0,0,0,0,0,0
1698,L00838,L,299.9,309.9,1203,46.8,77,0,0,0,0,0,0
1699,H00352,H,301.1,311.9,1389,40.9,121,0,0,0,0,0,0
1700,M00510,M,299.4,309.9,1381,35.8,179,0,0,0,0,0,0
1701,H00353,H,295.6,305.3,1405,37.1,247,1,1,0,0,0,0
1702,L00839,L,302.5,312.0,1755,46.5,118,0,0,0,0,0,0
1703,L00840,L,300.4,310.2,1511,29.0,77,0,0,0,0,0,0
1704,M00511,M,299.2,308.6,1461,31.8,245,0,0,0,0,0,0
1705,L00841,L,301.7,311.6,1738,23.9,129,0,0,0,0,0,0
1706,L00842,L,303.0,313.0,1626,40.3,20,0,0,0,0,0,0
1707,M00512,M,294.4,303.5,1226,48.6,28,0,0,0,0,0,0
1708,L00843,L,300.9,311.5,1427,53.3,75,0,0,0,0,0,0
1709,M00513,M,297.1,306.7,1595,55.5,81,1,0,0,1,0,0
1710,M00514,M,301.0,310.2,1370,33.1,165,0,0,0,0,0,0
1711,L00844,L,300.3,309.9,1901,42.5,232,0,0,0,0,0,0
1712,L00845,L,301.3,311.5,1558,36.0,159,0,0,0,0,0,0
1713,M00515,M,299.0,309.1,1403,56.5,168,0,0,0,0,0,0
1714,L00846,L,296.3,306.7,1336,53.0,21,0,0,0,0,0,0
1715,L00847,L,299.1,310.0,1704,41.7,227,0,0,0,0,0,0
1716,H00354,H,300.8,312.1,1422,33.8,169,0,0,0,0,0,0
1717,L00848,L,302.0,312.3,1606,5.5,139,1,0,0,1,0,0
1718,M00516,M,297.7,306.6,1331,25.7,56,0,0,0,0,0,0
1719,H00355,H,302.1,311.8,1550,21.5,212,1,0,0,1,0,0
1720,L00849,L,298.7,307.7,1424,25.5,7,0,0,0,0,0,0
1721,L00850,L,300.7,312.4,1481,58.8,155,1,0,0,1,0,0
1722,L00851,L,299.0,311.0,1395,27.0,56,0,0,0,0,0,0
1723,L00852,L,300.4,311.1,1721,29.4,180,0,0,0,0,0,0
1724,L00853,L,301.8,312.7,1450,30.8,213,0,0,0,0,0,0
1725,M00517,M,297.5,307.8,1512,66.0,243,1,1,0,1,1,0
1726,L00854,L,298.6,309.0,1520,39.4,207,0,0,0,0,0,0
1727,M00518,M,300.4,308.8,1826,49.9,203,1,0,0,1,0,0
1728,H00356,H,304.8,314.7,1697,41.8,240,0,0,0,0,0,0
1729,H00357,H,298.3,307.4,1679,20.2,16,0,0,0,0,0,0
1730,M00519,M,304.1,314.4,1255,55.3,20,0,0,0,0,0,0
1731,L00855,L,304.0,313.9,1420,44.0,50,0,0,0,0,0,0
1732,M00520,M,299.8,311.7,1750,38.8,134,0,0,0,0,0,0
1733,M00521,M,299.4,310.3,1328,57.6,188,0,0,0,0,0,0
1734,L00856,L,298.6,308.9,1553,36.5,211,1,1,0,0,0,0
1735,L00857,L,299.9,309.6,1347,38.6,227,1,1,0,0,0,0
1736,H00358,H,297.2,308.9,1365,36.5,243,1,1,0,0,0,0
1737,L00858,L,299.8,309.8,1838,50.8,53,1,0,0,1,0,0
1738,L00859,L,303.0,313.3,1666,48.1,168,0,0,0,0,0,0
1739,L00860,L,298.8,308.8,1713,42.8,59,0,0,0,0,0,0
1740,L00861,L,299.5,309.1,1678,29.5,43,0,0,0,0,0,0
1741,H00359,H,296.6,306.6,1513,36.3,76,0,0,0,0,0,0
1742,M00522,M,300.7,308.7,1414,29.5,232,0,0,0,0,0,0
1743,M00523,M,300.5,309.0,1466,51.6,28,0,0,0,0,0,0
1744,L00862,L,300.1,310.4,1503,24.3,170,0,0,0,0,0,0
1745,L00863,L,299.6,311.2,1855,55.9,164,1,0,0,1,0,0
1746,L00864,L,299.4,309.7,1298,52.9,60,0,0,0,0,0,0
1747,L00865,L,301.0,310.3,1438,30.8,186,0,0,0,0,0,0
1748,L00866,L,299.9,308.5,1374,35.8,60,0,0,0,0,0,0
1749,M00524,M,300.6,311.4,1727,32.9,71,0,0,0,0,0,0
1750,L00867,L,300.4,309.8,1869,44.3,19,0,0,0,0,0,0
1751,M00525,M,302.2,312.8,1593,54.1,171,1,0,0,1,0,0
1752,L00868,L,301.4,311.8,1607,51.9,55,0,0,0,0,0,0
1753,L00869,L,300.4,310.9,1554,35.7,175,0,0,0,0,0,0
1754,L00870,L,303.0,313.0,1616,52.5,73,0,0,0,0,0,0
1755,H00360,H,300.8,311.2,1676,51.7,142,1,0,0,1,0,0
1756,H00361,H,302.6,312.5,1614,38.1,248,1,1,0,0,0,0
1757,H00362,H,301.2,310.6,1627,39.9,203,0,0,0,0,0,0
1758,L00871,L,296.3,305.3,1676,55.4,183,1,0,0,1,0,0
1759,L00872,L,302.6,310.2,1219,50.6,183,1,0,1,0,0,0
1760,M00526,M,300.3,310.1,1538,52.2,45,0,0,0,0,0,0
1761,L00873,L,299.9,311.4,1592,65.9,184,1,0,0,1,1,0
1762,H00363,H,300.6,311.3,1612,45.5,44,0,0,0,0,0,0
1763,L00874,L,299.3,309.5,1507,43.3,207,0,0,0,0,0,0
1764,L00875,L,300.5,309.8,1566,53.6,41,0,0,0,0,0,0
1765,L00876,L,298.8,309.8,1409,59.9,189,1,0,0,0,1,0
1766,L00877,L,302.5,312.4,1220,33.9,7,0,0,0,0,0,0
1767,M00527,M,299.8,311.4,1713,38.0,83,0,0,0,0,0,0
1768,L00878,L,299.2,308.2,1334,29.8,13,0,0,0,0,0,0
1769,L00879,L,298.2,307.5,1509,43.4,228,0,0,0,0,0,0
1770,L00880,L,300.5,309.7,1403,48.9,25,0,0,0,0,0,0
1771,L00881,L,300.4,308.9,1822,30.5,101,0,0,0,0,0,0
1772,M00528,M,300.8,309.9,1523,51.3,244,1,1,0,0,1,0
1773,H00364,H,297.9,308.0,1482,35.5,40,0,0,0,0,0,0
1774,H00365,H,296.8,306.1,1671,34.7,236,0,0,0,0,0,0
1775,M00529,M,301.3,307.4,1924,51.3,28,1,0,0,1,0,0
1776,L00882,L,303.0,314.1,1610,33.7,190,0,0,0,0,0,0
1777,M00530,M,297.9,306.2,1470,26.0,12,0,0,0,0,0,0
1778,L00883,L,303.2,313.8,1662,47.4,97,0,0,0,0,0,0
1779,L00884,L,300.6,310.6,1256,38.7,213,0,0,0,0,0,0
1780,H00366,H,300.0,312.1,1546,52.0,236,0,0,0,0,0,0
1781,L00885,L,299.2,310.2,1894,48.3,217,1,0,0,1,0,0
1782,H00367,H,297.2,306.7,1566,22.5,225,0,0,0,0,0,0
1783,L00886,L,302.0,311.3,1557,53.2,186,0,0,0,0,0,0
1784,M00531,M,298.4,309.9,1541,59.0,46,1,0,0,1,0,0
1785,M00532,M,298.4,306.9,1467,50.3,215,0,0,0,0,0,0
1786,H00368,H,302.0,312.2,1594,50.7,247,0,0,0,0,0,0
1787,M00533,M,296.2,306.1,1676,37.5,20,0,0,0,0,0,0
1788,M00534,M,297.0,306.7,1478,35.2,94,0,0,0,0,0,0
1789,L00887,L,300.0,310.4,1168,42.1,11,0,0,0,0,0,0
1790,M00535,M,300.6,310.8,1621,49.2,105,0,0,0,0,0,0
1791,L00888,L,301.0,311.5,1919,48.9,23,1,0,0,1,0,0
1792,M00536,M,299.4,309.5,1470,35.6,20,0,0,0,0,0,0
1793,M00537,M,305.1,315.5,1274,34.6,3,0,0,0,0,0,0
1794,M00538,M,299.5,309.6,1659,25.1,24,0,0,0,0,0,0
1795,L00889,L,299.5,308.8,1850,46.5,7,1,0,0,1,0,0
1796,L00890,L,298.4,308.4,1632,36.1,163,0,0,0,0,0,0
1797,M00539,M,300.2,309.5,1846,37.0,33,0,0,0,0,0,0
1798,L00891,L,301.2,310.4,1680,57.3,113,1,0,0,1,0,0
1799,L00892,L,302.4,312.1,1664,46.0,49,0,0,0,0,0,0
1800,L00893,L,297.0,306.9,1445,43.2,237,0,0,0,0,0,0
1801,H00369,H,299.5,309.5,1589,48.3,90,0,0,0,0,0,0
1802,M00540,M,300.9,311.8,1532,54.2,27,0,0,0,0,0,0
1803,L00894,L,301.2,310.7,1526,23.8,61,0,0,0,0,0,0
1804,L00895,L,300.0,310.2,1492,34.3,92,0,0,0,0,0,0
1805,L00896,L,301.1,311.2,1578,37.7,126,0,0,0,0,0,0
1806,M00541,M,298.4,307.8,1305,30.2,220,0,0,0,0,0,0
1807,M00542,M,303.1,313.2,1683,37.3,201,0,0,0,0,0,0
1808,L00897,L,302.0,313.0,1380,24.5,43,0,0,0,0,0,0
1809,L00898,L,297.3,307.5,1493,49.2,159,0,0,0,0,0,0
1810,L00899,L,297.8,308.0,1597,34.8,7,0,0,0,0,0,0
1811,M00543,M,297.9,307.2,1372,42.0,181,0,0,0,0,0,0
1812,M00544,M,301.4,313.4,1186,40.5,144,0,0,0,0,0,0
1813,L00900,L,297.4,306.8,1469,45.6,139,0,0,0,0,0,0
1814,L00901,L,299.3,307.6,1281,15.4,124,1,0,1,1,0,0
1815,L00902,L,300.9,311.8,1665,44.5,89,0,0,0,0,0,0
1816,H00370,H,299.9,309.8,1331,37.2,243,0,0,0,0,0,0
1817,L00903,L,300.5,310.2,1803,44.1,194,0,0,0,0,0,0
1818,M00545,M,297.9,307.4,1536,28.2,105,0,0,0,0,0,0
1819,M00546,M,301.2,313.1,1548,44.1,202,0,0,0,0,0,0
1820,L00904,L,298.8,309.2,1183,53.0,205,0,0,0,0,0,0
1821,L00905,L,299.4,309.9,1563,41.9,70,0,0,0,0,0,0
1822,L00906,L,300.5,310.7,1523,32.8,153,0,0,0,0,0,0
1823,M00547,M,300.2,310.5,1305,33.3,100,0,0,0,0,0,0
1824,M00548,M,300.0,311.4,1553,45.8,160,0,0,0,0,0,0
1825,M00549,M,298.5,308.2,1466,45.7,171,0,0,0,0,0,0
1826,M00550,M,299.4,307.9,1499,43.6,239,1,1,0,0,0,0
1827,L00907,L,300.0,310.9,1542,39.6,31,0,0,0,0,0,0
1828,H00371,H,297.2,307.7,1453,42.0,165,0,0,0,0,0,0
1829,M00551,M,299.1,309.2,1582,39.4,211,0,0,0,0,0,0
1830,L00908,L,300.8,311.3,1522,36.2,9,0,0,0,0,0,0
1831,H00372,H,297.4,307.0,1622,47.6,78,0,0,0,0,0,0
1832,M00552,M,302.3,312.3,1443,43.1,206,0,0,0,0,0,0
1833,M00553,M,302.5,312.4,1347,52.9,197,0,0,0,0,0,0
1834,M00554,M,297.5,306.9,1411,51.2,246,1,1,0,0,1,0
1835,H00373,H,302.7,313.9,1796,42.8,216,0,0,0,0,0,0
1836,M00555,M,299.7,308.3,1709,46.0,128,0,0,0,0,0,0
1837,L00909,L,300.8,313.2,1755,30.4,197,0,0,0,0,0,0
1838,L00910,L,299.0,309.9,1767,39.2,76,0,0,0,0,0,0
1839,H00374,H,301.8,310.0,1454,43.4,74,0,0,0,0,0,0
1840,L00911,L,300.8,310.6,1590,24.2,215,0,0,0,0,0,0
1841,L00912,L,298.4,308.2,1551,44.3,211,0,0,0,0,0,0
1842,L00913,L,297.7,308.1,1656,30.4,89,0,0,0,0,0,0
1843,L00914,L,297.1,306.1,1486,31.5,24,0,0,0,0,0,0
1844,M00556,M,300.4,310.4,1554,34.7,51,0,0,0,0,0,0
1845,H00375,H,301.1,311.0,1550,39.7,51,0,0,0,0,0,0
1846,L00915,L,301.3,310.6,1633,26.7,11,0,0,0,0,0,0
1847,L00916,L,299.8,308.9,1655,48.6,45,0,0,0,0,0,0
1848,L00917,L,297.7,308.6,1554,41.8,136,0,0,0,0,0,0
1849,H00376,H,298.6,306.9,1560,59.2,44,1,0,0,1,0,0
1850,M00557,M,302.3,312.8,1578,43.0,35,0,0,0,0,0,0
1851,L00918,L,299.0,309.8,1832,45.7,136,0,0,0,0,0,0
1852,H00377,H,300.3,310.1,1228,31.5,96,0,0,0,0,0,0
1853,H00378,H,297.8,307.9,1364,28.2,167,0,0,0,0,0,0
1854,H00379,H,300.7,311.9,1658,46.2,161,0,0,0,0,0,0
1855,H00380,H,299.1,308.4,1586,29.1,87,0,0,0,0,0,0
1856,L00919,L,302.1,311.5,1585,46.4,52,0,0,0,0,0,0
1857,M00558,M,301.5,311.0,1657,57.1,108,1,0,0,1,0,0
1858,L00920,L,299.0,310.2,1576,49.5,44,0,0,0,0,0,0
1859,H00381,H,299.7,311.0,1437,45.7,125,0,0,0,0,0,0
1860,M00559,M,298.9,307.5,1650,42.7,96,0,0,0,0,0,0
1861,M00560,M,297.2,308.2,1541,36.2,160,0,0,0,0,0,0
1862,M00561,M,298.3,309.1,1457,38.9,28,0,0,0,0,0,0
1863,L00921,L,300.4,312.0,1661,34.3,165,0,0,0,0,0,0
1864,M00562,M,300.7,311.1,1654,26.8,47,0,0,0,0,0,0
1865,H00382,H,300.3,310.3,1576,40.4,240,0,0,0,0,0,0
1866,H00383,H,299.4,310.5,1845,51.1,204,1,0,0,1,0,0
1867,L00922,L,301.9,312.6,1775,27.1,81,0,0,0,0,0,0
1868,L00923,L,300.1,312.3,1717,54.0,58,1,0,0,1,0,0
1869,L00924,L,301.4,312.4,1997,52.2,61,1,0,0,1,0,0
1870,M00563,M,296.5,306.7,1511,44.0,34,0,0,0,0,0,0
1871,H00384,H,292.2,301.0,1454,44.1,174,0,0,0,0,0,0
1872,L00925,L,300.6,310.0,1692,38.1,58,0,0,0,0,0,0
1873,M00564,M,297.2,305.8,1492,40.4,186,0,0,0,0,0,0
1874,H00385,H,299.6,309.4,1540,35.4,129,0,0,0,0,0,0
1875,M00565,M,299.4,310.3,1361,40.3,88,0,0,0,0,0,0
1876,M00566,M,303.2,313.2,1646,41.4,249,0,0,0,0,0,0
1877,M00567,M,300.8,311.8,1274,58.8,187,0,0,0,0,0,0
1878,M00568,M,300.3,310.6,1520,45.7,133,0,0,0,0,0,0
1879,L00926,L,301.7,311.3,1535,37.9,24,0,0,0,0,0,0
1880,M00569,M,300.7,310.8,1459,39.0,52,0,0,0,0,0,0
1881,M00570,M,299.1,309.6,1223,32.9,211,0,0,0,0,0,0
1882,H00386,H,302.1,312.2,1222,34.5,123,0,0,0,0,0,0
1883,M00571,M,297.8,308.0,1404,49.1,77,0,0,0,0,0,0
1884,M00572,M,300.6,309.8,1634,35.1,113,0,0,0,0,0,0
1885,L00927,L,296.9,306.5,1589,33.8,131,0,0,0,0,0,0
1886,L00928,L,300.4,312.7,1535,34.1,199,0,0,0,0,0,0
1887,L00929,L,300.4,311.6,1379,32.7,225,1,1,0,0,0,0
1888,L00930,L,303.4,311.9,1599,51.3,91,0,0,0,0,0,0
1889,M00573,M,296.9,304.5,1215,41.4,55,1,0,1,0,0,0
1890,H00387,H,298.8,308.9,1168,37.2,1,0,0,0,0,0,0
1891,L00931,L,301.6,312.5,1494,40.3,144,0,0,0,0,0,0
1892,L00932,L,300.7,310.2,1440,42.2,195,0,0,0,0,0,0
1893,H00388,H,300.4,311.4,1719,32.5,246,1,1,0,0,0,0
1894,L00933,L,298.1,308.2,1566,26.1,47,0,0,0,0,0,0
1895,M00574,M,298.8,308.6,1833,53.4,225,1,0,0,1,1,0
1896,M00575,M,302.5,313.3,1439,49.9,154,0,0,0,0,0,0
1897,M00576,M,299.9,309.4,1625,43.8,210,0,0,0,0,0,0
1898,L00934,L,300.8,310.5,1492,49.2,91,0,0,0,0,0,0
1899,L00935,L,299.8,310.5,1785,59.1,101,1,0,0,1,0,0
1900,M00577,M,297.6,307.6,1501,34.6,33,0,0,0,0,0,0
1901,M00578,M,301.9,313.8,1690,28.8,95,0,0,0,0,0,0
1902,L00936,L,301.0,311.7,1345,46.6,168,0,0,0,0,0,0
1903,M00579,M,304.6,315.2,1463,25.3,94,0,0,0,0,0,0
1904,L00937,L,298.0,308.0,1522,40.4,5,0,0,0,0,0,0
1905,M00580,M,301.6,312.5,1764,37.0,5,0,0,0,0,0,0
1906,L00938,L,297.4,307.1,1168,46.7,27,0,0,0,0,0,0
1907,H00389,H,300.3,310.6,1478,35.2,135,0,0,0,0,0,0
1908,L00939,L,302.0,311.1,1472,52.0,128,0,0,0,0,0,0
1909,L00940,L,295.9,306.9,1168,32.5,79,0,0,0,0,0,0
1910,L00941,L,299.6,309.9,1454,47.1,233,0,0,0,0,0,0
1911,L00942,L,298.9,310.9,1262,33.3,210,0,0,0,0,0,0
1912,H00390,H,298.6,311.0,1168,45.5,17,0,0,0,0,0,0
1913,H00391,H,300.8,311.6,1491,29.9,221,0,0,0,0,0,0
1914,L00943,L,302.2,312.3,1484,39.8,79,0,0,0,0,0,0
1915,L00944,L,299.7,308.8,1494,53.2,224,1,0,0,0,1,0
1916,M00581,M,300.4,311.3,1583,41.2,122,0,0,0,0,0,0
1917,H00392,H,300.2,310.4,1380,51.8,91,0,0,0,0,0,0
1918,M00582,M,300.0,310.5,1858,39.7,174,0,0,0,0,0,0
1919,L00945,L,297.8,309.5,1532,34.9,207,0,0,0,0,0,0
1920,L00946,L,302.2,311.4,1768,41.7,10,0,0,0,0,0,0
1921,M00583,M,300.6,309.7,1237,46.2,5,0,0,0,0,0,0
1922,L00947,L,300.8,310.6,1388,20.9,141,1,0,0,1,0,0
1923,M00584,M,298.4,309.2,1660,45.2,111,0,0,0,0,0,0
1924,L00948,L,299.1,309.7,1497,30.6,227,0,0,0,0,0,0
1925,M00585,M,299.6,308.7,1345,28.1,21,0,0,0,0,0,0
1926,L00949,L,296.9,307.7,1208,45.4,231,0,0,0,0,0,0
1927,M00586,M,296.6,305.4,1669,53.4,214,1,0,0,1,0,0
1928,L00950,L,298.8,308.0,1654,42.2,158,0,0,0,0,0,0
1929,M00587,M,301.0,310.9,1581,26.4,27,0,0,0,0,0,0
1930,L00951,L,298.7,308.1,1449,33.3,146,0,0,0,0,0,0
1931,M00588,M,298.0,308.9,1338,35.8,114,0,0,0,0,0,0
1932,M00589,M,298.4,308.7,1528,42.0,213,0,0,0,0,0,0
1933,M00590,M,299.1,310.9,1302,39.3,128,0,0,0,0,0,0
1934,M00591,M,299.3,309.1,1403,45.0,194,0,0,0,0,0,0
1935,M00592,M,304.3,314.2,1763,50.0,199,1,0,0,1,0,0
1936,H00393,H,302.1,313.3,1206,43.4,140,0,0,0,0,0,0
1937,L00952,L,302.0,311.9,1659,49.0,178,0,0,0,0,0,0
1938,H00394,H,302.3,313.8,1805,37.3,0,0,0,0,0,0,0
1939,L00953,L,298.0,308.5,1684,73.0,28,1,0,0,1,0,0
1940,L00954,L,297.6,305.2,1609,45.5,140,0,0,0,0,0,0
1941,L00955,L,297.8,309.0,1455,46.8,41,0,0,0,0,0,0
1942,L00956,L,302.7,313.6,1422,57.6,28,0,0,0,0,0,0
1943,M00593,M,298.9,309.9,1168,40.9,93,0,0,0,0,0,0
1944,M00594,M,297.5,305.6,1544,33.5,143,0,0,0,0,0,0
1945,M00595,M,299.1,308.4,1465,53.1,59,0,0,0,0,0,0
1946,M00596,M,299.5,308.9,1413,53.7,104,0,0,0,0,0,0
1947,L00957,L,300.5,309.7,1534,41.5,161,0,0,0,0,0,0
1948,L00958,L,300.5,312.2,1549,57.6,246,1,1,0,1,1,0
1949,L00959,L,298.3,308.3,1424,39.2,39,0,0,0,0,0,0
1950,L00960,L,301.4,311.4,1826,49.3,194,1,0,0,1,0,0
1951,L00961,L,298.7,309.3,1668,55.2,92,1,0,0,1,0,0
1952,L00962,L,299.7,310.3,1698,41.0,221,0,0,0,0,0,0
1953,M00597,M,301.4,308.1,1519,44.6,182,0,0,0,0,0,0
1954,M00598,M,298.7,308.1,1629,50.3,185,0,0,0,0,0,0
1955,H00395,H,298.9,307.5,1377,36.3,51,0,0,0,0,0,0
1956,H00396,H,301.2,311.6,1657,31.9,63,0,0,0,0,0,0
1957,M00599,M,298.3,308.0,1501,53.3,225,1,1,0,0,0,0
1958,L00963,L,299.2,309.2,1355,43.1,3,0,0,0,0,0,0
1959,M00600,M,301.1,309.0,1533,34.9,175,0,0,0,0,0,0
1960,M00601,M,304.1,313.8,1485,40.9,199,0,0,0,0,0,0
1961,L00964,L,301.2,312.3,1953,45.1,110,1,0,0,1,0,0
1962,L00965,L,300.9,312.3,1615,24.3,239,0,0,0,0,0,0
1963,H00397,H,301.1,311.8,1820,47.2,17,0,0,0,0,0,0
1964,L00966,L,297.9,306.6,1740,44.1,85,0,0,0,0,0,0
1965,M00602,M,300.2,311.5,1544,56.6,9,1,0,0,1,0,0
